#PI       err_PI
3.14181  0
3.14167  0.00013627
3.14142  0.000265408
3.14155  0.000227514
3.14172  0.000245091
3.1416  0.000232557
3.14158  0.000197772
3.14154  0.000175643
3.1415  0.000159275
3.14158  0.000162744
3.14156  0.00014844
3.14157  0.000135555
3.14155  0.000125655
3.14159  0.000122728
3.14161  0.000115331
3.14161  0.000108141
3.1417  0.000131345
3.14163  0.00013992
3.14171  0.000152922
3.14167  0.000149114
3.14166  0.000142288
3.14164  0.000137293
3.14171  0.000148797
3.1417  0.000142756
3.14171  0.000137263
3.14168  0.000135539
3.14171  0.000134419
3.14169  0.000130877
3.14166  0.000130635
3.14171  0.000134355
3.14173  0.000131355
3.14171  0.000127861
3.14174  0.000126158
3.14173  0.000122554
3.14173  0.000119052
3.14172  0.000116719
3.14173  0.000114275
3.14177  0.000117358
3.14176  0.000114752
3.14178  0.000114594
3.14176  0.000114795
3.14176  0.000112234
3.14176  0.000109701
3.14174  0.000108524
3.14172  0.000109215
3.14167  0.000117246
3.14168  0.000115538
3.1417  0.000114122
3.14174  0.000118445
3.14174  0.000116202
3.14173  0.000114812
3.14173  0.000112708
3.14173  0.000110571
3.14175  0.000109571
3.14173  0.000109755
3.14172  0.000108311
3.14171  0.00010663
3.14171  0.000104811
3.14171  0.000103124
3.1417  0.000101657
3.1417  0.000100063
3.14171  9.96299e-05
3.14175  0.000103684
3.14172  0.000105376
3.14173  0.000104033
3.14174  0.000103617
3.14175  0.000102327
3.14175  0.000100826
3.14174  9.94667e-05
3.14174  9.80717e-05
3.14173  9.75153e-05
3.14173  9.61579e-05
3.14172  9.50654e-05
3.14172  9.37758e-05
3.14172  9.25771e-05
3.14174  9.43995e-05
3.14174  9.31733e-05
3.14174  9.2059e-05
3.14174  9.09263e-05
3.14172  9.111e-05
3.1417  9.21467e-05
3.14171  9.1277e-05
3.14171  9.02549e-05
3.14172  8.92089e-05
3.14172  8.82176e-05
3.14172  8.71865e-05
3.14173  8.70832e-05
3.14174  8.63004e-05
3.14175  8.60548e-05
3.14175  8.5189e-05
3.14176  8.43083e-05
3.14177  8.41967e-05
3.14177  8.33981e-05
3.14176  8.32058e-05
3.14177  8.26187e-05
3.14177  8.18209e-05
3.14177  8.09899e-05
3.14176  8.06699e-05
3.14175  8.05875e-05
3.14174  8.01969e-05
