#step       R cont        sigmaR cont
1       1       0
2       1.41782       0.00403268
3       1.74044       0.00529696
4       2.00592       0.00722645
5       2.24395       0.00824229
6       2.45051       0.00838191
7       2.64649       0.0103318
8       2.83342       0.0109098
9       2.99693       0.0116851
10       3.1614       0.0113796
11       3.31001       0.0126485
12       3.46       0.0127274
13       3.60038       0.0134396
14       3.74312       0.013603
15       3.87813       0.0143411
16       4.00265       0.014605
17       4.12206       0.0155858
18       4.23683       0.016488
19       4.35231       0.0165918
20       4.46536       0.0180479
21       4.57239       0.0179154
22       4.68418       0.0180749
23       4.78898       0.0179095
24       4.89805       0.0186284
25       5.00323       0.0192913
26       5.10529       0.019484
27       5.20467       0.0196656
28       5.30003       0.0196326
29       5.39775       0.0200324
30       5.48394       0.0216637
31       5.56696       0.022321
32       5.64682       0.0234331
33       5.73403       0.0225996
34       5.81681       0.0225597
35       5.90275       0.0230834
36       5.97977       0.0237436
37       6.06555       0.0240828
38       6.14417       0.0239248
39       6.2164       0.023582
40       6.28659       0.0235765
41       6.36182       0.0237285
42       6.4328       0.02413
43       6.5114       0.0247175
44       6.57896       0.0247765
45       6.65171       0.0251179
46       6.72727       0.0253456
47       6.7965       0.0255926
48       6.87248       0.0257266
49       6.94668       0.0263293
50       7.02766       0.026917
51       7.08887       0.0266769
52       7.15802       0.0281756
53       7.23494       0.0293425
54       7.31441       0.0296129
55       7.38523       0.0314721
56       7.43746       0.0320613
57       7.51254       0.0328898
58       7.58374       0.0331738
59       7.65127       0.0336676
60       7.71064       0.0325655
61       7.76869       0.0327702
62       7.83884       0.032396
63       7.90751       0.0333258
64       7.97103       0.0343684
65       8.02439       0.0335593
66       8.08347       0.0327041
67       8.1443       0.0325501
68       8.20253       0.0333369
69       8.26742       0.0330247
70       8.32319       0.0325884
71       8.38121       0.0323564
72       8.451       0.0322836
73       8.51172       0.0333735
74       8.55799       0.034506
75       8.61544       0.0343995
76       8.66689       0.0349868
77       8.7192       0.0349864
78       8.77292       0.0348288
79       8.82594       0.033696
80       8.87943       0.0336824
81       8.9285       0.035185
82       8.97773       0.0360329
83       9.03145       0.035526
84       9.08345       0.0361306
85       9.14511       0.0371057
86       9.19009       0.0372494
87       9.25625       0.0367072
88       9.31186       0.0370935
89       9.3686       0.0368744
90       9.43032       0.0368599
91       9.48401       0.0367738
92       9.53777       0.0357472
93       9.58758       0.0366779
94       9.63045       0.0372618
95       9.68925       0.0376207
96       9.7337       0.0374699
97       9.78945       0.0364028
98       9.84712       0.0367711
99       9.90408       0.0373446
100       9.95729       0.0381673
