#C       errC  P       errP  
15.3227  0  5.38538  0
15.1359  0.186736  5.42483  0.0394464
14.852  0.303745  5.47273  0.053038
14.9207  0.225526  5.36767  0.111552
14.9827  0.185338  5.39436  0.0904368
15.1089  0.197051  5.35519  0.0835885
15.1478  0.171037  5.41028  0.0895884
15.0653  0.169568  5.38901  0.0804499
14.9834  0.1705  5.3676  0.074109
14.9231  0.163974  5.38046  0.0675202
14.8837  0.153482  5.40197  0.0647532
14.8528  0.143464  5.41037  0.0597054
14.7738  0.15382  5.41653  0.0552645
14.7909  0.143429  5.40505  0.0524352
14.8406  0.142497  5.39307  0.0502637
14.9691  0.185109  5.35515  0.0604066
14.9774  0.174078  5.36016  0.0569632
14.9604  0.165001  5.36176  0.0537293
14.9113  0.163605  5.37727  0.0531367
14.93  0.156331  5.36095  0.0529872
14.9135  0.149617  5.37278  0.0517707
14.937  0.144573  5.37304  0.0493621
14.9188  0.139326  5.36933  0.047313
14.9334  0.134183  5.34606  0.0509239
14.8977  0.133559  5.35211  0.049217
14.8599  0.133781  5.36626  0.0493587
14.8471  0.129362  5.35656  0.0484759
14.9001  0.135471  5.35187  0.046947
14.9078  0.130939  5.37186  0.0495136
14.8938  0.127266  5.37914  0.0483856
14.9138  0.124709  5.37001  0.0476812
14.9174  0.120801  5.36545  0.0463919
14.9028  0.117981  5.37385  0.0457417
14.912  0.114827  5.38072  0.044904
14.9014  0.112001  5.38001  0.0436078
14.8869  0.109808  5.37641  0.0425319
14.8865  0.106799  5.37703  0.0413711
14.89  0.104012  5.38448  0.0409509
14.8443  0.111143  5.40344  0.0441642
14.8718  0.111752  5.3981  0.0433765
14.8662  0.109133  5.40561  0.0429671
14.8569  0.106906  5.40125  0.0421575
14.8417  0.105497  5.40076  0.0411683
14.8311  0.103613  5.40587  0.0405449
14.8248  0.101482  5.41373  0.0404048
14.8259  0.0992574  5.41519  0.0395438
14.8362  0.0976706  5.41601  0.0387018
14.8402  0.0956964  5.41957  0.0380543
14.8559  0.095036  5.4137  0.0377297
14.8555  0.0931171  5.41166  0.0370233
14.8735  0.0930373  5.40877  0.0364051
14.8725  0.0912359  5.41044  0.0357371
14.8454  0.0935233  5.42013  0.0363717
14.8537  0.0921495  5.41515  0.0360382
14.8371  0.0919547  5.42254  0.0361412
14.8654  0.0946075  5.41817  0.0357581
14.8546  0.0935497  5.42299  0.0354539
14.8604  0.0921052  5.41944  0.0350177
14.8391  0.0930164  5.42385  0.0347006
14.8405  0.0914638  5.42188  0.0341741
14.8257  0.0911583  5.42149  0.0336115
14.8313  0.0898514  5.4193  0.0331373
14.837  0.0885943  5.42638  0.0333659
14.8449  0.0875616  5.42015  0.0334252
14.8359  0.0866729  5.42606  0.0334335
14.8391  0.0854067  5.42126  0.0332716
14.8318  0.0844355  5.42939  0.0337654
14.8392  0.0835152  5.43004  0.0332715
14.8336  0.0824873  5.42894  0.0328042
14.8404  0.081581  5.42503  0.0325675
14.842  0.0804412  5.42118  0.032336
14.8414  0.0793182  5.42138  0.0318844
14.8466  0.078395  5.41936  0.0315092
14.8417  0.0774862  5.42294  0.0312862
14.836  0.0766598  5.42466  0.0309141
14.842  0.075888  5.42078  0.0307497
14.8584  0.0766536  5.42121  0.0303507
14.858  0.0756654  5.42204  0.0299706
14.8518  0.0749562  5.42162  0.0295918
14.8452  0.0743031  5.42464  0.0293754
14.8397  0.0735906  5.43372  0.0303978
14.8397  0.0726876  5.43446  0.0300339
14.845  0.0720012  5.43073  0.0299039
14.8451  0.0711391  5.42843  0.0296347
14.8409  0.0704265  5.43224  0.0295312
14.844  0.0696737  5.43074  0.0292245
14.8561  0.0699112  5.42313  0.0298722
14.8555  0.0691146  5.42716  0.0298042
14.8611  0.0685669  5.42989  0.029594
14.8558  0.0680114  5.43215  0.0293503
14.8443  0.0682369  5.43987  0.0300356
14.8322  0.0685553  5.44589  0.0303104
14.8341  0.0678392  5.44105  0.0303707
14.8286  0.067337  5.43886  0.0301257
14.8353  0.0669599  5.43744  0.0298405
14.8376  0.0662976  5.4366  0.0295401
14.8296  0.0660894  5.4389  0.0293249
14.8326  0.0654792  5.43581  0.0291879
14.8223  0.0656233  5.4371  0.0289201
14.8301  0.065424  5.43458  0.0287399
