#R       errR  
1.5721  0
1.53488  0.0372163
1.54171  0.0225447
1.5209  0.0262125
1.53636  0.025518
1.5443  0.0222965
1.53179  0.0226153
1.53311  0.0196299
1.52461  0.0192868
1.51919  0.0180814
1.51977  0.0163655
1.51935  0.0149456
1.51617  0.014111
1.51078  0.0141322
1.50669  0.0137778
1.50596  0.0129087
1.50325  0.0124252
1.50154  0.0118376
1.49996  0.0113089
1.49903  0.0107684
1.50005  0.0102926
1.50314  0.0102908
1.49841  0.0109142
1.50195  0.011033
1.50263  0.0106042
1.50223  0.0101958
1.50181  0.00982001
1.5011  0.00948923
1.5042  0.00966642
1.50276  0.00944893
1.50328  0.00915366
1.50453  0.0089507
1.50515  0.00869725
1.50504  0.00843821
1.50557  0.00821044
1.50686  0.00808299
1.50677  0.00786205
1.50549  0.00775819
1.50828  0.00805611
1.50723  0.00792233
1.50734  0.00772754
1.50815  0.0075844
1.50737  0.0074467
1.50633  0.00735032
1.50646  0.00718637
1.50613  0.00703615
1.50561  0.00690429
1.50593  0.00676627
1.50651  0.00665186
1.50583  0.00655277
1.50495  0.0064818
1.50542  0.00637273
1.50474  0.00628757
1.50316  0.00636901
1.50257  0.0062803
1.50369  0.00626885
1.50402  0.00616671
1.50405  0.00605952
1.50457  0.00597836
1.50632  0.00613382
1.50604  0.00603889
1.50676  0.00598397
1.50636  0.00590171
1.50635  0.00580879
1.50614  0.00572238
1.5055  0.00567174
1.50521  0.00559391
1.50518  0.0055111
1.50485  0.00544081
1.50513  0.0053697
1.5047  0.00531093
1.50353  0.0053657
1.5034  0.00529338
1.50299  0.00523688
1.50268  0.00517598
1.5015  0.00524129
1.50178  0.0051799
1.50219  0.00512976
1.5022  0.00506443
1.50223  0.00500083
1.50163  0.0049752
1.50228  0.00495617
1.50225  0.00489616
1.50193  0.00484842
1.50228  0.00480425
1.50173  0.00477973
1.50144  0.00473369
1.50102  0.00469803
1.50107  0.00464521
1.50062  0.00461547
1.5009  0.00457312
1.50098  0.00452382
1.50193  0.00457474
1.50123  0.0045798
1.50122  0.00453134
1.5008  0.00450413
1.50122  0.0044773
1.50148  0.00443897
1.50162  0.00439622
1.50184  0.00435751
