#R       errR  
5.13885  0
5.04404  0.0948074
5.06694  0.0593348
5.08645  0.0462704
5.06807  0.0402785
5.04043  0.0429623
5.01374  0.0450616
5.01265  0.0390396
5.03452  0.0407871
5.03293  0.0365158
5.03802  0.0334188
5.03613  0.0305651
5.02968  0.0288473
5.02364  0.0273813
5.02174  0.0255617
5.01927  0.024038
5.00857  0.0249848
5.00119  0.0246834
4.9996  0.0234025
4.99086  0.0238611
4.98971  0.0227254
4.98605  0.021975
4.98401  0.0210964
4.98323  0.0202133
4.98514  0.0194814
4.98266  0.0188807
4.98528  0.0183554
4.98537  0.017688
4.9904  0.0177919
4.98852  0.0172915
4.98642  0.0168552
4.98797  0.0163933
4.98774  0.0158905
4.98826  0.0154247
4.98508  0.0153103
4.99015  0.0157184
4.9937  0.0156945
4.99607  0.0154591
4.99842  0.0152401
4.99875  0.0148578
4.99657  0.0146535
4.99764  0.0143406
4.99748  0.014004
5.0005  0.0140102
4.99778  0.0139621
4.99704  0.0136754
4.99777  0.0134017
4.99838  0.0131334
4.99793  0.0128704
4.99514  0.0129147
4.99785  0.0129452
4.99801  0.0126948
4.9945  0.0129385
4.99474  0.012699
4.99321  0.0125597
4.99412  0.0123671
4.99518  0.0121946
4.99556  0.0119883
4.99785  0.0120055
4.99957  0.0119283
4.99818  0.0118135
5.0013  0.0120336
5.00148  0.0118423
5.00267  0.0117168
5.00304  0.0115411
5.00452  0.0114614
5.00472  0.0112908
5.00475  0.0111236
5.00357  0.0110247
5.00339  0.0108675
5.00305  0.0107189
5.00156  0.010673
5.00165  0.0105261
5.00181  0.0103842
5.00308  0.0103233
5.00346  0.0101936
5.00496  0.0101716
5.00434  0.0100595
5.00509  0.00995913
5.00602  0.00987856
5.00505  0.00980446
5.00542  0.00969134
5.00475  0.00959736
5.00749  0.00987073
5.00676  0.00978125
5.00839  0.00980371
5.00882  0.00969984
5.00908  0.00959252
5.00845  0.00950544
5.00585  0.00975192
5.00731  0.00975425
5.00532  0.00985132
5.00535  0.00974488
5.00347  0.00982221
5.0034  0.00971852
5.00234  0.00967507
5.00105  0.00966184
5.00292  0.00974499
5.00437  0.0097543
5.00285  0.00977581
