#R       errR  
1.41969  0
1.46228  0.0425887
1.48355  0.0325163
1.49459  0.0255023
1.49029  0.0202166
1.49615  0.0175176
1.49926  0.0151278
1.502  0.0133848
1.4979  0.0124978
1.49465  0.0116405
1.49903  0.0114031
1.49813  0.010448
1.4953  0.0100177
1.49798  0.00965279
1.5006  0.00936027
1.49741  0.00931695
1.50072  0.00935477
1.50136  0.00884276
1.49754  0.00919156
1.49763  0.00872026
1.49555  0.00855052
1.49701  0.0082823
1.50069  0.00872699
1.50104  0.00836293
1.50264  0.0081784
1.50299  0.00786555
1.50417  0.00766063
1.50759  0.00813239
1.50749  0.00784754
1.50691  0.00760343
1.50646  0.00736799
1.50906  0.00759175
1.50717  0.00759474
1.50864  0.00751143
1.50953  0.00734868
1.50833  0.00724169
1.51042  0.00734701
1.51054  0.00715194
1.51119  0.00699673
1.51161  0.00683223
1.51129  0.00667112
1.50916  0.00684953
1.51007  0.00674975
1.50875  0.00672508
1.50852  0.006578
1.50979  0.00655894
1.50941  0.00642957
1.50956  0.00629616
1.50848  0.0062614
1.50859  0.00613586
1.50747  0.00611758
1.50707  0.00601206
1.5081  0.00598718
1.50761  0.00589572
1.50834  0.00583328
1.50835  0.00572819
1.5072  0.00574334
1.50696  0.00564841
1.50737  0.00556648
1.50788  0.00549649
1.50741  0.00542585
1.50561  0.00563371
1.50582  0.00554764
1.50617  0.0054714
1.50763  0.0055817
1.50913  0.00569632
1.50956  0.00562765
1.50857  0.00563277
1.50802  0.00557764
1.50856  0.00552406
1.5089  0.00545628
1.50806  0.00544481
1.5076  0.00538957
1.50695  0.00535558
1.50698  0.00528375
1.50674  0.0052193
1.50717  0.00516896
1.50762  0.00512224
1.50697  0.0050981
1.50694  0.0050341
1.5068  0.00497353
1.50596  0.00498368
1.50709  0.00505285
1.50728  0.0049959
1.50657  0.00498765
1.50634  0.00493483
1.50588  0.0048995
1.50529  0.00487876
1.50545  0.00482606
1.50468  0.00483343
1.50574  0.0048972
1.50639  0.0048861
1.50669  0.00484279
1.50615  0.00482151
1.50576  0.00478612
1.50602  0.00474315
1.50587  0.00469662
1.50596  0.00464935
1.50604  0.00460289
1.50567  0.00457158
