#R       errR  
5.2447  0
5.12063  0.124078
5.07779  0.0834663
5.07509  0.0590813
5.04335  0.0556934
5.0093  0.0568121
5.02165  0.0495784
5.0097  0.044567
4.98223  0.047955
4.97349  0.0437744
4.98293  0.040707
4.97205  0.038722
4.98138  0.0368205
4.98818  0.0347621
4.99502  0.0330757
4.97788  0.0353696
4.9765  0.0332526
4.98045  0.031599
4.98095  0.0298938
4.98625  0.028851
4.97949  0.0282644
4.97922  0.0269504
4.98197  0.0258985
4.96926  0.0278609
4.97031  0.0267437
4.97212  0.025758
4.97657  0.0251828
4.97652  0.0242668
4.9742  0.0235296
4.9721  0.0228281
4.96227  0.0241692
4.96348  0.0234329
4.96285  0.0227203
4.9684  0.0227285
4.97077  0.0221967
4.97459  0.0219059
4.96809  0.022274
4.96617  0.0217644
4.96786  0.0212656
4.97158  0.0210599
4.9743  0.0207181
4.97948  0.0208736
4.98338  0.0207525
4.98456  0.0203095
4.98159  0.0200747
4.9799  0.0197063
4.98216  0.0194145
4.97609  0.019951
4.97848  0.0196857
4.97628  0.0194129
4.97522  0.0190584
4.97227  0.0189183
4.96988  0.0187115
4.97158  0.0184397
4.97193  0.0181048
4.97142  0.0177858
4.97471  0.0177776
4.97525  0.0174767
4.97587  0.0171894
4.97377  0.0170304
4.97403  0.0167509
4.97758  0.0168555
4.98056  0.0168511
4.98394  0.016927
4.98447  0.0166731
4.98646  0.0165386
4.98812  0.0163737
4.99106  0.0163976
4.99354  0.0163477
4.99305  0.0161201
4.99134  0.0159823
4.99192  0.0157691
4.99583  0.0160364
4.99593  0.0158185
4.99622  0.0156089
4.99511  0.0154423
4.99485  0.0152426
4.99471  0.0150465
4.99484  0.0148554
4.9969  0.0148125
4.99807  0.0146749
4.99973  0.0145895
4.99804  0.0145111
4.99898  0.0143681
4.99936  0.0142031
5.00052  0.0140854
5.00033  0.0139239
4.99925  0.0138068
4.99952  0.0136535
5.00283  0.0138994
5.00518  0.0139454
5.00411  0.0138341
5.00457  0.013692
5.00255  0.0136945
5.00082  0.0136597
5.00024  0.013529
4.99815  0.0135519
4.99818  0.013413
4.99739  0.0133
4.99912  0.0132799
